"u198c87c0b89f29caa3d3cad726653d6f|1511872256259" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877328508" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877329368" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877330008" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877332535" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877334354" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877336536" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877338280" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877340967" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877344822" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877345228" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877347290" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877357874" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877358995" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877361483" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877361810" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877363739" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877364069" 
"ub16a27e27d4b7a40fd504656beb209b8|1511877375638" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877386585" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877388700" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877390891" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877392582" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877392999" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877394736" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877413922" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877416321" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877442179" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877445537" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877456384" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877456781" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877457078" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877458915" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877479546" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877479913" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877480303" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877480684" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877483404" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877483747" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877485209" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877485619" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877486755" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877487096" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877489248" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877489621" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877499610" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877500348" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877500690" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877509187" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877513230" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877513686" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877524390" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877524744" 
"uebdb3fb7ef5e735d1ad0b09ac3a547ff|1511877552678" 
"u3f7fc96e635d2ccf9f735d312a81a281|1511877559736" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877623222" 
"ucd5c04d9c914398d05bfb59125422c37|1511877773146" 
"u23c08077b262264273367a4c7a343112|1511877783254" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877825801" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877826142" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877826152" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877835795" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877836152" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877837884" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877838068" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877838534" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877838771" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877841459" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877841578" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877841936" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877842097" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877846446" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877846946" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877852266" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877852406" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877852426" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877852505" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877852673" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877852729" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877852731" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877853025" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877853204" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877853259" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877856586" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877857197" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877858673" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877859014" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877859105" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877869965" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877870545" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877871953" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877884113" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877884405" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877886784" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877887197" 
"uebdb3fb7ef5e735d1ad0b09ac3a547ff|1511877887312" 
"uebdb3fb7ef5e735d1ad0b09ac3a547ff|1511877887741" 
"uebdb3fb7ef5e735d1ad0b09ac3a547ff|1511877890839" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877891105" 
"ucd5c04d9c914398d05bfb59125422c37|1511877892360" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877908943" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877909331" 
"ucd5c04d9c914398d05bfb59125422c37|1511877913426" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877922725" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877924402" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877924503" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877924539" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877924644" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877924777" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877924857" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877924939" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877925072" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877925087" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877925254" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877925313" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877925461" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877925666" 
"uc455a5966d655d88731ec5d4a29ddc34|1511877925696" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877939491" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877939686" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877939778" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877940005" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877940452" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877940908" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877941160" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877941282" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877941390" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877941594" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877941763" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877942071" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877942406" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877954230" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877954858" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877956627" 
"ucd5c04d9c914398d05bfb59125422c37|1511877957468" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877958864" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877959221" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877961115" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877961635" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877967333" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877967667" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877973028" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877973406" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877974871" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877975223" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877983502" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877983762" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877984869" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877985216" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877989751" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877990155" 
"u1299497da9c41cdb78cbc7f362e69d72|1511877991787" 
"u08b4492d9d6171a051f36a73a11a8b25|1511877992147" 
"u1299497da9c41cdb78cbc7f362e69d72|1511878007043" 
"u08b4492d9d6171a051f36a73a11a8b25|1511878007279" 
"u1299497da9c41cdb78cbc7f362e69d72|1511878010059" 
"u08b4492d9d6171a051f36a73a11a8b25|1511878010365" 
"u1299497da9c41cdb78cbc7f362e69d72|1511878011119" 
"u08b4492d9d6171a051f36a73a11a8b25|1511878011881" 
"u1299497da9c41cdb78cbc7f362e69d72|1511878012370" 
"u08b4492d9d6171a051f36a73a11a8b25|1511878012709" 
"uc455a5966d655d88731ec5d4a29ddc34|1511878048564" 
"u1299497da9c41cdb78cbc7f362e69d72|1511878056059" 
"uc455a5966d655d88731ec5d4a29ddc34|1511878056674" 
"u08b4492d9d6171a051f36a73a11a8b25|1511878058073" 
"ub16a27e27d4b7a40fd504656beb209b8|1511878146246" 
"ucd5c04d9c914398d05bfb59125422c37|1511878231599" 
"u3f7fc96e635d2ccf9f735d312a81a281|1511878261997" 
"u096126834bd96291d77b294f65c0bff7|1511878442743" 
"u69527022c36a04b8333cb91aa4acf4b1|1511878627530" 
"uf87f6fefcd007ec689a9fd6a3657ad69|1511878687216" 
"u1299497da9c41cdb78cbc7f362e69d72|1511878709140" 
